,links,Grantee,Purpose,Amount,Program,Date,Overview
10,https://hewlett.org/grants/national-wildlife-federation-for-hecho-fundraising-and-development-planning/,National Wildlife Federation,For HECHO Fundraising And Development Planning,"$30,000",Environment,5/15/2020,  Western Conservation
11,https://hewlett.org/grants/locus-impact-investing-for-climate-change-mitigation-through-loan-guarantee-structures/,LOCUS Impact Investing,For Climate Change Mitigation Through Loan Guarantee Structures,"$500,000",Environment,5/15/2020,"The Community Investment Guarantee Pool (CIGP), managed by LOCUS Impact Investing, seeks to issue investment guarantees to enterprises, funds, and special purpose vehicles implementing climate solutions. The goals are for these early investment pools to mitigate perceived risk, crowd in private capital to achieve climate solutions at a much greater scale, and help teach the market about what is financeable for climate mitigation. CIGP will identify what types of climate investments are most suitable for credit enhancements, structure and underwrite climate guarantees, and determine and report on how CIGP and guarantee facilities can scale to crowd in more private financing into climate mitigation finance for low-income communities.  "
12,https://hewlett.org/grants/nuestra-tierra-conservation-project-for-general-operating-support/,Nuestra Tierra Conservation Project,For General Operating Support,"$30,000",Environment,5/15/2020,  Western Conservation
13,https://hewlett.org/grants/the-years-project-for-rapid-response-communications/,The YEARS Project,For Rapid Response Communications,"$350,000",Environment,5/15/2020,"The YEARS Project is a multimedia storytelling and education effort designed to inform, empower, and unite the world in the face of climate change. The YEARS Project believes in a world in which effective climate crisis solutions honor human rights. As a part of this scope of work, the YEARS Project will produce rapid response video content and distribute it widely to the public. The videos will shine a bright light on the actions of banks, asset managers, and financial regulators, giving voice to frontline communities directly impacted by their investment and regulatory decisions.  "
14,https://hewlett.org/grants/nature-conservancy-for-the-building-a-conservation-ethic-in-the-west-program-1/,Nature Conservancy,For The Building A Conservation Ethic In The West Program,"$500,000",Environment,5/14/2020,"The Nature Conservancy is the leading conservation organization working around the world to protect ecologically important lands and waters for nature and people. This Western Conservation grantee works with partners to educate the public and policymakers about the need to enhance public funding for conservation of public lands and sustainable working lands, in particular, the policy and public support needed to manage forests for wildfire resilience — protecting communities, wildlife habitat, and clean water. (Western Conservation Substrategy: Advance Conservation Protections.) Western Conservation"
15,https://hewlett.org/grants/trust-for-public-land-for-support-of-the-west-conservation-finance-program-3/,Trust for Public Land,For Support Of The West Conservation Finance Program,"$900,000",Environment,5/14/2020,"The Trust for Public Land works to create parks and protect land for people, ensuring healthy, livable communities for generations to come. A Western Conservation grantee, the organization works with partner organizations, community leaders, and others to research and identify opportunities to leverage new public funding for conservation of land and rivers across the American West. In particular, during the grant period, the Trust’s staff is working to bring public attention to the policy and public support needed to manage forests for wildfire resilience — protecting communities, wildlife habitat, and clean water. (Western Conservation Substrategy: Advance Conservation Protections.) Western Conservation"
16,https://hewlett.org/grants/outdoor-afro-for-general-operating-support-1/,Outdoor Afro,For General Operating Support,"$250,000",Environment,5/14/2020,"Outdoor Afro is a national nonprofit that celebrates and inspires Black connections and leadership in nature. The organization and its network of volunteer leaders are advancing an inclusive vision for conservation, connecting thousands of people to outdoor experiences —changing the face of the conservation movement and empowering new policy advocates. (Western Conservation Substrategies: Advance Conservation Protections and Building Conditions for Enduring Conservation.) Western Conservation"
17,https://hewlett.org/grants/windward-fund-for-phase-ii-to-develop-a-natural-and-working-lands-strategy-to-reach-carbon-neutrality-goals/,Windward Fund,For Phase II To Develop A Natural And Working Lands Strategy To Reach Carbon Neutrality Goals,"$500,000",Environment,5/11/2020,"This project builds on findings that using forest slash to create biofuels with carbon capture is economical — and would expand California’s ability to mitigate wildfire risk. Specifically, this project will examine the institutional and regulatory barriers to using forest thinning to create lumber products and biofuel with carbon capture. In addition, the project will identify revenue streams that could speed up and expand wildfire mitigation efforts, and work with stakeholders to achieve social buy-in for sound forest management and carbon capture.  "
18,https://hewlett.org/grants/water-foundation-for-organizational-work-on-equity-inclusion-and-diversity/,Water Foundation,"For Organizational Work On Equity, Inclusion, And Diversity","$30,000",Environment,5/11/2020,  Western Conservation
19,https://hewlett.org/grants/nature-conservancy-for-an-analysis-of-funding-mechanisms-for-wildfire-resilience/,Nature Conservancy,For An Analysis Of Funding Mechanisms For Wildfire Resilience,"$165,000",Environment,5/11/2020,  Western Conservation
20,https://hewlett.org/grants/continental-divide-trail-coalition-for-the-next-100-coalitions-planning-meeting/,Continental Divide Trail Coalition,For The Next 100 Coalition's Planning Meeting,"$20,000",Environment,5/7/2020,  Western Conservation
21,https://hewlett.org/grants/ndn-collective-for-legal-capacity/,NDN Collective,For Legal Capacity,"$30,000",Environment,5/7/2020,  Western Conservation
22,https://hewlett.org/grants/earth-island-institute-for-pgm-one-strategic-planning-and-development/,Earth Island Institute,For PGM ONE Strategic Planning And Development,"$100,000",Environment,5/7/2020,  Western Conservation
23,https://hewlett.org/grants/native-american-rights-fund-for-general-operating-support-1/,Native American Rights Fund,For General Operating Support,"$500,000",Environment,5/6/2020,"Founded in 1970, the Native American Rights Fund is the oldest and largest nonprofit legal organization asserting and defending the rights of American Indian tribes, organizations, and individuals nationwide. Its core priorities include protecting natural resources and educating the public about Indian rights, laws, and issues. The fund works with Tribal Nations nationwide, including tribes seeking to defend Bears Ears National Monument, restore the Klamath River, and protect Bristol Bay in Alaska. (Western Conservation Substrategy: Defend Public Lands.) Western Conservation"
24,https://hewlett.org/grants/colorado-plateau-foundation-for-general-operating-support-0/,Colorado Plateau Foundation,For General Operating Support,"$500,000",Environment,5/4/2020,"The Native American-led Colorado Plateau Foundation helps to build more resilient, locally led nonprofits serving native communities on the Colorado Plateau, and supports the work of these organizations to protect water supplies, sacred places, and endangered landscapes; revitalize language; and ensure food security through sustainable, community-based agriculture across the plateau. In particular, their grantees are working to address water supplies contaminated by uranium mining; stop harmful new energy development; and protect and restore cultural landscapes, including in and around Bears Ears National Monument and the Grand Canyon National Park. They also educate philanthropy about the needs and opportunities (or rationale and purpose) for grantmaking in native communities. (Western Conservation Substrategies: Defend Public Lands and Building Conditions for Enduring Conservation.) Western Conservation"
25,https://hewlett.org/grants/climateworks-foundation-for-general-operating-support-2/,ClimateWorks Foundation,For General Operating Support,"$10,000,000",Environment,4/29/2020,"ClimateWorks Foundation works to address climate change and advance clean energy and a prosperous economy. They pursue a global approach to reducing greenhouse gas emissions aimed at energy sectors and regions with high or fast-growing levels of greenhouse gas pollution. Among their priorities are increasing clean, renewable energy sources; promoting energy efficiency; supporting work on clean transportation; and reducing deforestation and emissions of highly potent greenhouse gases. ClimateWorks will also continue to increase philanthropic capacity in the field.  "
26,https://hewlett.org/grants/montana-wilderness-association-for-organizational-rebranding/,Montana Wilderness Association,For Organizational Rebranding,"$30,000",Environment,4/27/2020,  Western Conservation
27,https://hewlett.org/grants/center-for-strategic-and-international-studies-for-the-energy-security-and-climate-change-program/,Center for Strategic and International Studies,For The Energy Security And Climate Change Program,"$250,000",Environment,4/24/2020,"This grant supports the Center for Strategic and International Studies’ work on energy security, energy poverty alleviation, and the intersection between climate change and foreign policy, through public education, strategic insights, and policy solutions. To date, the foreign policy dimensions of climate have been under-emphasized as the environmental community focuses on domestic technical solutions, environmental advocacy, and the traditional sectors of energy and transport. This effort expands that scope, and seeks to enlarge the range of actors, particularly the community focused on international activities — including defense, diplomacy, and international trade, all of which will be central to meeting the demand for global deep decarbonization.  "
28,https://hewlett.org/grants/latinos-for-leadership-excellence-and-diversity-for-general-operating-support/,Latinos for Leadership Excellence and Diversity,For General Operating Support,"$25,000",Environment,4/24/2020,  Western Conservation
29,https://hewlett.org/grants/ecotrust-for-vibrant-planets-wildfire-and-forest-health-funder-gathering/,Ecotrust,For Vibrant Planet's Wildfire And Forest Health Funder Gathering,"$20,000",Environment,4/20/2020,  Western Conservation
30,https://hewlett.org/grants/multiplier-for-the-menlo-spark-project/,Multiplier,For The Menlo Spark Project,"$200,000",Environment,4/20/2020,"This grant provides renewed funding to Menlo Spark, a community project that started in 2015 to explore opportunities to promote long-term economic vitality, equality, and quality of life in Menlo Park, while addressing the threat of climate change. The goal is for the city of Menlo Park to become climate neutral by 2025 and serve as a model for other U.S. cities of similar size. MenloSpark focuses on the following key strategies: renewable power generation, clean transportation, efficient buildings, and responsible waste practices.  "
31,https://hewlett.org/grants/national-wildlife-federation-for-organizational-work-on-equity-inclusion-and-diversity/,National Wildlife Federation,"For Organizational Work On Equity, Inclusion, And Diversity","$50,000",Environment,4/20/2020,  Western Conservation
32,https://hewlett.org/grants/resources-legacy-fund-for-the-international-boreal-conservation-campaign-0/,Resources Legacy Fund,For The International Boreal Conservation Campaign,"$1,000,000",Environment,4/18/2020,"Resources Legacy Fund serves as fiscal sponsor for the International Boreal Conservation Campaign (IBCC), which empowers Canadians to protect the boreal forestlands for the benefit of people and nature. For instance, IBCC supports the Indigenous Leadership Initiative to help strengthen indigenous nationhood and fulfill indigenous cultural responsibilities to the land. The Indigenous Leadership Initiative is working with First Nations across Canada on land-use planning, designation of new Indigenous Protected and Conserved Areas, and programs to fund Indigenous Guardians to steward these protected areas. (Western Conservation Substrategy: Advance Conservation Protections.) Western Conservation"
33,https://hewlett.org/grants/energy-futures-initiative-for-clean-energy-transition-research/,Energy Futures Initiative,For Clean Energy Transition Research,"$600,000",Environment,4/18/2020,"This grant assists with the development and implementation of solutions to accelerate climate change mitigation and adaptation through innovations in technology and policy. During the grant period, Energy Futures Initiative will focus on three areas: (a) deep decarbonization of U.S. energy systems; (b) regional, national, and global clean energy innovation pathways; and (c) building a clean energy-focused workforce.  "
34,https://hewlett.org/grants/calstart-for-general-operating-support-5/,CALSTART,For General Operating Support,"$500,000",Environment,4/17/2020,"CALSTART works with the automotive industry and key policymakers to advance clean transportation solutions in all road-vehicle segments. Their theory of change is centered on technology and policy advocacy. They also serve as an administrator for several clean transportation programs funded by the state of California. CALSTART serves as the secretariat for the Global Commercial Vehicle Drive to Zero program, which will coordinate several global policy efforts for zero-emission freight. This year they plan to expand this program in Europe, China, and India.  "
35,https://hewlett.org/grants/united-states-energy-foundation-for-general-operating-support/,United States Energy Foundation,For General Operating Support,"$14,000,000",Environment,4/14/2020,"This grant supports the U.S. Energy Foundation to develop strategies, make grants, and monitor and evaluate progress toward decarbonization of the U.S. economy. The U.S. Energy Foundation regrants to a broad array of organizations, including technical and policy experts, and influential constituencies working to build support for the transition to a clean-energy economy.  "
36,https://hewlett.org/grants/center-for-american-progress-for-the-climate-finance-regulatory-project/,Center for American Progress,For The Climate Finance Regulatory Project,"$750,000",Environment,4/13/2020,"The Center for American Progress is an independent nonpartisan policy institute whose work spans environmental and economic issues. The center will develop a climate change financial regulatory plan, working with a coalition of both climate and finance experts across the United States.  "
37,https://hewlett.org/grants/colorado-school-of-mines-for-an-integrated-carbon-capture-utilization-and-storage-program/,Colorado School of Mines,"For An Integrated Carbon Capture, Utilization, And Storage Program","$300,000",Environment,4/13/2020,"Support to the Payne Institute at the Colorado School of Mines helps build a center of excellence on carbon capture, utilization, and storage. The institute will expand its capacity to incorporate carbon capture in climate models, as well as develop protocols for techno-economic systems analysis of carbon capture applications. It will research and develop new technologies for carbon capture, and around carbon utilization and storage. Finally, the institute will focus on policy research that will include carbon pricing, industrial carbon capture, and project-specific economic analysis for policymakers.  "
38,https://hewlett.org/grants/resources-legacy-fund-for-the-conservation-litigation-project-0/,Resources Legacy Fund,For The Conservation Litigation Project,"$120,000",Environment,4/13/2020,  Western Conservation
39,https://hewlett.org/grants/conservation-lands-foundation-for-general-operating-support-5/,Conservation Lands Foundation,For General Operating Support,"$1,000,000",Environment,4/9/2020,"The Conservation Lands Foundation protects, restores, and expands the nation’s system of National Conservation Lands through a network of 70 volunteer-powered local ""friends groups,"" public education, and partnerships. The organization trains and supports its Friends Grassroots Network to work with their communities to steward and advance new conservation protections for landscapes and rivers across the West. (Western Conservation Substrategies: Defend Public Lands and Advance Conservation Protections.) Western Conservation"
40,https://hewlett.org/grants/backcountry-hunters-and-anglers-to-facilitate-collaboration-among-public-land-users-and-advocates/,Backcountry Hunters and Anglers,To Facilitate Collaboration Among Public Land Users And Advocates,"$40,000",Environment,4/9/2020,  Western Conservation
41,https://hewlett.org/grants/community-wildfire-planning-center-for-a-state-by-state-analysis-of-wildland-urban-interface-development/,Community Wildfire Planning Center,For A State-by-state Analysis Of Wildland-urban Interface Development,"$65,500",Environment,4/6/2020,  Western Conservation
42,https://hewlett.org/grants/western-organization-of-resource-councils-education-project-for-general-operating-support-0/,Western Organization of Resource Councils Education Project,For General Operating Support,"$450,000",Environment,4/6/2020,"The Western Organization of Resource Councils’ Education Project is a regional network of grassroots community organizations that includes 15,000 members and 35 local chapters. The network works to advance new federal and state policies such as the reform of oil and gas reclamation and bonding practices in multiple Western states, balancing economic growth with the health of people and stewardship of their land, water, and air resources. (Western Conservation Substrategy: Advance Conservation Protections.) Western Conservation"
43,https://hewlett.org/grants/earthjustice-for-general-operating-support-8/,Earthjustice,For General Operating Support,"$400,000",Environment,4/6/2020,"Founded in 1971, Earthjustice is a nonprofit environmental law organization that works to protect people’s health, to preserve magnificent places and wildlife, to advance clean energy, and to combat climate change via legal strategies and partnerships with tribes and hundreds of community organizations. A Western Conservation grantee, Earthjustice uses litigation and strategic communications to defend protected public lands and waters and bedrock environmental laws. (Western Conservation Substrategy: Defend Public Lands.) Western Conservation"
44,https://hewlett.org/grants/energy-innovation-reform-project-for-general-operating-support-3/,Energy Innovation Reform Project,For General Operating Support,"$500,000",Environment,4/6/2020,"The Energy Innovation Reform Project seeks to develop a dialogue on climate change within the conservative policy community, focusing on energy solutions, including mitigation technologies such as carbon capture and storage and advanced nuclear. They work on promoting innovation-based solutions to the challenge of climate change.  "
45,https://hewlett.org/grants/conveners-org-for-supporting-alignment-between-climate-risk-and-climate-impact-in-finance-portfolios/,Conveners.org,For Supporting Alignment Between Climate Risk And Climate Impact In Finance Portfolios,"$16,000",Environment,4/2/2020,   
46,https://hewlett.org/grants/institute-for-transportation-and-development-policy-for-advancing-electrification-in-china-and-india-transport/,Institute for Transportation and Development Policy,For Advancing Electrification In China And India Transport,"$400,000",Environment,3/30/2020,"The Institute for Transportation and Development Policy promotes environmentally sustainable and socially equitable transportation in cities worldwide. This grant supports the institute to make progress toward its goal of replacing high-carbon personal vehicles with low-carbon shared and electric vehicles. Specifically, the institute will work with cities to electrify buses, informal transit, and shared micromobility in China and India. The lessons from this work will serve to inform the development of a global electric bus policy and implementation guidebook.  "
47,https://hewlett.org/grants/colorado-state-university-foundation-for-a-workshop-on-working-with-rural-communities/,Colorado State University Foundation,For A Workshop On Working With Rural Communities,"$20,000",Environment,3/30/2020,  Western Conservation
48,https://hewlett.org/grants/partnership-project-for-the-clean-cars-campaign/,Partnership Project,For The Clean Cars Campaign,"$250,000",Environment,3/30/2020,"This grant supports the Clean Cars Campaign within the Partnership Project. The Clean Cars Campaign is comprised of organizations ranging from environmental, consumer protection, and health to national security and business. The campaign’s focus is to defend federal car fuel economy and greenhouse gas emissions standards and plan for advancing these regulations in the future. The campaign is focused on educating the public on where major automakers stand with respect to their support of strong clean car standards in the U.S. Maintaining and advancing strong federal clean car standards is a key element of the Climate Initiative’s transportation substrategy.  "
49,https://hewlett.org/grants/western-conservation-foundation-for-general-operating-support-15/,Western Conservation Foundation,For General Operating Support,"$5,000,000",Environment,3/22/2020,"The Western Conservation Foundation (WCF) works to build leaders to protect the land, air, and water of the West. WCF is a regranter and convener supporting our Western Conservation strategy. It works with diverse organizations to advocate and advance new federal and state conservation policies, such as those protecting wildlife connectivity and key landscapes. It supports coordination among state groups and the capacity of regrantees to address DEI issues and improve their operational efficiency, and is launching a communications project about the effect of energy development on land and waters, wildlife habitat, and communities. (Substrategy: Advance Conservation Protections) Western Conservation"
50,https://hewlett.org/grants/pew-charitable-trusts-for-u-s-public-lands-and-rivers-conservation/,Pew Charitable Trusts,For U.S. Public Lands And Rivers Conservation,"$1,200,000",Environment,3/22/2020,"The Pew Charitable Trusts’ U.S. public lands and rivers conservation campaign works with communities west-wide to conserve biodiversity by identifying and protecting wildlife corridors, protecting and restoring free-flowing rivers, and expanding core habitat designations. In particular, Pew is working with other Western Conservation grantees, scientists, local partners, tribes, sportsmen and sportswomen groups, members of the business community, mayors, county commissioners, veterans, and others to advance new policies that safeguard these wild places and wild rivers for future generations to use and enjoy. At the local level, Pew continues to work with federal, state, and local natural resource officials and agencies to secure the removal or replacement of river barriers impeding fish passage, in coordination with Resources Legacy Fund’s Open Rivers Fund; seek new public funding for construction of wildlife crossing infrastructure projects within identified migration corridors; and preserve core areas of passageway for wildlife connectivity through federal land-use plans. (Substrategy: Advance Conservation Protections) Western Conservation"
51,https://hewlett.org/grants/resources-legacy-fund-for-the-western-energy-project-4/,Resources Legacy Fund,For The Western Energy Project,"$2,075,000",Environment,3/22/2020,"The Resources Legacy Fund’s Western Energy Project works to protect treasured landscapes in the American West by ensuring that any development of oil and gas from our federal public lands is done in a responsible manner. The Fund empowers diverse organizations to preserve ecologically and culturally important areas; support the adoption of common-sense protections for our water, air, land, and wildlife; and work to safeguard opportunities for Americans to enjoy our public lands across the Intermountain West. (Substrategy: Defend Public Lands) Western Conservation"
52,https://hewlett.org/grants/institute-for-strategic-and-equitable-development-for-a-funder-convening-to-learn-about-equity-diversity-and-inclusion/,Institute for Strategic and Equitable Development,"For A Funder Convening To Learn About Equity, Diversity, And Inclusion","$15,000",Environment,3/13/2020,  Western Conservation
53,https://hewlett.org/grants/world-resources-institute-for-the-sbti-finance-project/,World Resources Institute,For The SBTi-Finance Project,"$500,000",Environment,3/12/2020,"This scope of work is to further grow the Science Based Targets Initiative, specifically for financial institutions (SBTi Finance). SBTi Finance builds on attributional accounting based on the Greenhouse Gas Protocol’s Corporate Value Chain (Scope 3) Standard. SBTi Finance is a framework for financial institutions to set targets that are aligned with climate scenarios, and that enable an ex-post evaluation of financial institutions’ contribution to real-economy emissions reductions in relation to the Paris Agreement’s mitigation goal. The framework includes a set of methods that can be used to set targets, criteria that SBTi will use to assess and validate targets submitted to the initiative, and implementation guidance.  "
54,https://hewlett.org/grants/bipartisan-policy-center-for-the-deep-decarbonization-infrastructure-and-jobs-modeling-project/,Bipartisan Policy Center,"For The Deep Decarbonization, Infrastructure, And Jobs Modeling Project","$250,000",Environment,3/12/2020,"In this project, the Bipartisan Policy Center works with Third Way Institute and Clean Air Task Force to undertake detailed quantitative modeling of deep decarbonization pathways and Clean Energy Standard policies in the United States. These modeling results will be used to estimate state-level deployment of energy infrastructure and to analyze the implications for U.S. employment of different deep decarbonization pathways and infrastructure build-out scenarios through 2030.  "
55,https://hewlett.org/grants/conservation-fund-for-the-pioneers-alliance-to-protect-idahos-pioneer-mountains-and-craters-of-the-moon-landscape-1/,Conservation Fund,For The Pioneers Alliance To Protect Idaho's Pioneer Mountains And Craters Of The Moon Landscape,"$100,000",Environment,3/10/2020,  Western Conservation
56,https://hewlett.org/grants/parks-california-for-general-operating-support/,Parks California,For General Operating Support,"$1,000,000",Environment,3/10/2020,"Parks California is a new statewide nonprofit with statutory authority, working to leverage public and private dollars toward making California state parks more welcoming, accessible, and relevant to everyone. This two-year grant, made in partnership with several other California foundations, enables the organization to build out its staff capacity and launch new community engagement partnerships. (Western Conservation Substrategy: Building Conditions for Enduring Conservation) Western Conservation"
57,https://hewlett.org/grants/institute-of-international-finance-for-the-climate-risk-assessment-and-reporting-project/,Institute of International Finance,For The Climate Risk Assessment And Reporting Project,"$215,000",Environment,3/9/2020,"The Institute of International Finance is a global association of the financial industry, with more than 450 members from more than 70 countries. Members include commercial and investment banks, asset managers, insurance companies, sovereign wealth funds, hedge funds, central banks, and development banks. As part of its Sustainable Finance Working Group and work on climate risk assessment and reporting, the institute will host three interactive workshops in key Asian markets to help financial institutions assess and disclose the greenhouse gas emissions associated with loans and investments.  "
58,https://hewlett.org/grants/resources-for-the-future-for-general-operating-support-1/,Resources for the Future,For General Operating Support,"$1,000,000",Environment,3/9/2020,"Resources for the Future (RFF) conducts impartial economic and policy research to improve environmental, energy, and natural resource decisions. RFF’s climate and energy research includes sector-specific strategies including transport, electricity, industry, and carbon removal. RFF also engages in cross-cutting policy research related to carbon pricing and clean technology. Finally, RFF provides technical support to key decision makers at the E.U., U.S. federal, and U.S. state levels on climate policy and its economic impacts.  "
59,https://hewlett.org/grants/great-plains-institute-for-sustainable-development-for-general-operating-support-6/,Great Plains Institute for Sustainable Development,For General Operating Support,"$500,000",Environment,3/9/2020,"The Great Plains Institute works on solutions that reduce and ultimately eliminate carbon emissions, while strengthening communities and providing greater economic opportunity through creation of high-paying jobs, expansion of the nation’s industrial base, and increased domestic energy independence. Of particular importance is the role that the institute plays in building support for carbon capture and carbon dioxide removal projects and policies in the Mountain, Plains, and Midwestern states. This includes hosting and staffing the 75-member national industry, labor, and NGO carbon capture coalition. In addition, the institute organizes CO2NNECT, the premier annual national leadership event on carbon capture, to elevate policy, technology, and communications priorities.  "
60,https://hewlett.org/grants/transformca-for-fund-development-for-climateplan/,TransFormCA,For Fund Development For ClimatePlan,"$40,000",Environment,3/9/2020,   
61,https://hewlett.org/grants/new-energy-nexus-for-climate-finance-fintech-accelerator-landscape-scoping/,New Energy Nexus,For Climate Finance Fintech Accelerator Landscape Scoping,"$175,000",Environment,3/3/2020,   
62,https://hewlett.org/grants/european-climate-foundation-for-general-operating-support-2/,European Climate Foundation,For General Operating Support,"$10,000,000",Environment,2/27/2020,"The European Climate Foundation (ECF) was established in early 2008 as a major philanthropic initiative to help Europe foster the development of a low-carbon society and play an even stronger international leadership role in mitigating climate change. ECF advances policy in the areas of energy, transportation, buildings, low-carbon finance, industry, and energy efficiency. The organization works to develop policy at the local, national, and European Union level. They also support international efforts to mitigate carbon emissions through the United Nations and G20.  "
63,https://hewlett.org/grants/climate-policy-initiative-for-the-climate-finance-program-0/,Climate Policy Initiative,For The Climate Finance Program,"$1,000,000",Environment,2/27/2020,"The overarching goal of the Climate Policy Initiative’s Climate Finance Program is to ensure that policy and investment decision makers have the knowledge and tools to address climate change while achieving sustainable development goals. The program’s strategy is organized around three work streams: (a) to provide needed information on investment flows and investors, (b) to apply in-depth analysis to guide decision makers in their efforts to accelerate the effective use of public and private capital, and (c) develop and scale transformative financial solutions for climate mitigation.  "
64,https://hewlett.org/grants/ideas42-for-the-sustainable-banking-consumer-campaign/,Ideas42,For The Sustainable Banking Consumer Campaign,"$1,500,000",Environment,2/27/2020,"Ideas42 has applied behavioral insights in more than 100 projects across 35 countries, helping people act on choices that affect their lives and communities. Ideas42 manages a Sustainable Banking campaign that encourages consumers to switch their bank accounts to climate-positive, socially and environmentally sustainable financial institutions. The short-term goal of the campaign is to drive consumers to take actions signaling their demand for pro-climate deposit accounts. The medium- to long-term goal of the campaign is to build substantial and growing demand for pro-climate retail banking products, and engage with regulatory and private actors to increase the availability and utilization of those products.  "
65,https://hewlett.org/grants/new-venture-fund-for-we-mean-business-executive-search-and-leadership-development/,New Venture Fund,For We Mean Business' Executive Search And Leadership Development,"$50,000",Environment,2/27/2020,   
66,https://hewlett.org/grants/sand-county-foundation-for-a-study-of-conservation-opportunities-with-the-u-s-military-0/,Sand County Foundation,For A Study Of Conservation Opportunities With The U.S. Military,"$12,000",Environment,2/24/2020,  Western Conservation
67,https://hewlett.org/grants/western-resource-advocates-for-the-opportunities-in-the-interior-west-for-commercializing-carbon-capture-use-and-storage/,Western Resource Advocates,"For The Opportunities In The Interior West For Commercializing Carbon Capture, Use, And Storage","$100,000",Environment,2/12/2020,   
68,https://hewlett.org/grants/european-climate-foundation-for-the-carbon-dioxide-removal-and-carbon-capture-hub-at-the-port-of-rotterdam/,European Climate Foundation,For The Carbon Dioxide Removal And Carbon Capture Hub At The Port Of Rotterdam,"$1,000,000",Environment,2/12/2020,"This project seeks to achieve buy-in from key European NGOs for an industrial decarbonization strategy that is built around carbon capture. The European Climate Foundation will work with stakeholders to develop a governing consensus for the deployment of carbon capture and the accompanying infrastructure. Key stakeholders will include major E.U. climate NGOs; representatives from the iron, steel, cement, and chemical industries; national governments; and labor unions.  "
69,https://hewlett.org/grants/national-wildlife-federation-for-the-2020-women-in-conservation-leadership-summit/,National Wildlife Federation,For The 2020 Women In Conservation Leadership Summit,"$20,000",Environment,2/12/2020,   
