,text
11,"The Community Investment Guarantee Pool (CIGP), managed by LOCUS Impact Investing, seeks to issue investment guarantees to enterprises, funds, and special purpose vehicles implementing climate solutions. The goals are for these early investment pools to mitigate perceived risk, crowd in private capital to achieve climate solutions at a much greater scale, and help teach the market about what is financeable for climate mitigation. CIGP will identify what types of climate investments are most suitable for credit enhancements, structure and underwrite climate guarantees, and determine and report on how CIGP and guarantee facilities can scale to crowd in more private financing into climate mitigation finance for low-income communities.  For Climate Change Mitigation Through Loan Guarantee Structures"
12,  Western ConservationFor General Operating Support
13,"The YEARS Project is a multimedia storytelling and education effort designed to inform, empower, and unite the world in the face of climate change. The YEARS Project believes in a world in which effective climate crisis solutions honor human rights. As a part of this scope of work, the YEARS Project will produce rapid response video content and distribute it widely to the public. The videos will shine a bright light on the actions of banks, asset managers, and financial regulators, giving voice to frontline communities directly impacted by their investment and regulatory decisions.  For Rapid Response Communications"
14,"The Nature Conservancy is the leading conservation organization working around the world to protect ecologically important lands and waters for nature and people. This Western Conservation grantee works with partners to educate the public and policymakers about the need to enhance public funding for conservation of public lands and sustainable working lands, in particular, the policy and public support needed to manage forests for wildfire resilience — protecting communities, wildlife habitat, and clean water. (Western Conservation Substrategy: Advance Conservation Protections.) Western ConservationFor The Building A Conservation Ethic In The West Program"
15,"The Trust for Public Land works to create parks and protect land for people, ensuring healthy, livable communities for generations to come. A Western Conservation grantee, the organization works with partner organizations, community leaders, and others to research and identify opportunities to leverage new public funding for conservation of land and rivers across the American West. In particular, during the grant period, the Trust’s staff is working to bring public attention to the policy and public support needed to manage forests for wildfire resilience — protecting communities, wildlife habitat, and clean water. (Western Conservation Substrategy: Advance Conservation Protections.) Western ConservationFor Support Of The West Conservation Finance Program"
16,"Outdoor Afro is a national nonprofit that celebrates and inspires Black connections and leadership in nature. The organization and its network of volunteer leaders are advancing an inclusive vision for conservation, connecting thousands of people to outdoor experiences —changing the face of the conservation movement and empowering new policy advocates. (Western Conservation Substrategies: Advance Conservation Protections and Building Conditions for Enduring Conservation.) Western ConservationFor General Operating Support"
17,"This project builds on findings that using forest slash to create biofuels with carbon capture is economical — and would expand California’s ability to mitigate wildfire risk. Specifically, this project will examine the institutional and regulatory barriers to using forest thinning to create lumber products and biofuel with carbon capture. In addition, the project will identify revenue streams that could speed up and expand wildfire mitigation efforts, and work with stakeholders to achieve social buy-in for sound forest management and carbon capture.  For Phase II To Develop A Natural And Working Lands Strategy To Reach Carbon Neutrality Goals"
18,"  Western ConservationFor Organizational Work On Equity, Inclusion, And Diversity"
19,  Western ConservationFor An Analysis Of Funding Mechanisms For Wildfire Resilience
20,  Western ConservationFor The Next 100 Coalition's Planning Meeting
21,  Western ConservationFor Legal Capacity
22,  Western ConservationFor PGM ONE Strategic Planning And Development
23,"Founded in 1970, the Native American Rights Fund is the oldest and largest nonprofit legal organization asserting and defending the rights of American Indian tribes, organizations, and individuals nationwide. Its core priorities include protecting natural resources and educating the public about Indian rights, laws, and issues. The fund works with Tribal Nations nationwide, including tribes seeking to defend Bears Ears National Monument, restore the Klamath River, and protect Bristol Bay in Alaska. (Western Conservation Substrategy: Defend Public Lands.) Western ConservationFor General Operating Support"
24,"The Native American-led Colorado Plateau Foundation helps to build more resilient, locally led nonprofits serving native communities on the Colorado Plateau, and supports the work of these organizations to protect water supplies, sacred places, and endangered landscapes; revitalize language; and ensure food security through sustainable, community-based agriculture across the plateau. In particular, their grantees are working to address water supplies contaminated by uranium mining; stop harmful new energy development; and protect and restore cultural landscapes, including in and around Bears Ears National Monument and the Grand Canyon National Park. They also educate philanthropy about the needs and opportunities (or rationale and purpose) for grantmaking in native communities. (Western Conservation Substrategies: Defend Public Lands and Building Conditions for Enduring Conservation.) Western ConservationFor General Operating Support"
25,"ClimateWorks Foundation works to address climate change and advance clean energy and a prosperous economy. They pursue a global approach to reducing greenhouse gas emissions aimed at energy sectors and regions with high or fast-growing levels of greenhouse gas pollution. Among their priorities are increasing clean, renewable energy sources; promoting energy efficiency; supporting work on clean transportation; and reducing deforestation and emissions of highly potent greenhouse gases. ClimateWorks will also continue to increase philanthropic capacity in the field.  For General Operating Support"
26,  Western ConservationFor Organizational Rebranding
27,"This grant supports the Center for Strategic and International Studies’ work on energy security, energy poverty alleviation, and the intersection between climate change and foreign policy, through public education, strategic insights, and policy solutions. To date, the foreign policy dimensions of climate have been under-emphasized as the environmental community focuses on domestic technical solutions, environmental advocacy, and the traditional sectors of energy and transport. This effort expands that scope, and seeks to enlarge the range of actors, particularly the community focused on international activities — including defense, diplomacy, and international trade, all of which will be central to meeting the demand for global deep decarbonization.  For The Energy Security And Climate Change Program"
28,  Western ConservationFor General Operating Support
29,  Western ConservationFor Vibrant Planet's Wildfire And Forest Health Funder Gathering
30,"This grant provides renewed funding to Menlo Spark, a community project that started in 2015 to explore opportunities to promote long-term economic vitality, equality, and quality of life in Menlo Park, while addressing the threat of climate change. The goal is for the city of Menlo Park to become climate neutral by 2025 and serve as a model for other U.S. cities of similar size. MenloSpark focuses on the following key strategies: renewable power generation, clean transportation, efficient buildings, and responsible waste practices.  For The Menlo Spark Project"
31,"  Western ConservationFor Organizational Work On Equity, Inclusion, And Diversity"
32,"Resources Legacy Fund serves as fiscal sponsor for the International Boreal Conservation Campaign (IBCC), which empowers Canadians to protect the boreal forestlands for the benefit of people and nature. For instance, IBCC supports the Indigenous Leadership Initiative to help strengthen indigenous nationhood and fulfill indigenous cultural responsibilities to the land. The Indigenous Leadership Initiative is working with First Nations across Canada on land-use planning, designation of new Indigenous Protected and Conserved Areas, and programs to fund Indigenous Guardians to steward these protected areas. (Western Conservation Substrategy: Advance Conservation Protections.) Western ConservationFor The International Boreal Conservation Campaign"
33,"This grant assists with the development and implementation of solutions to accelerate climate change mitigation and adaptation through innovations in technology and policy. During the grant period, Energy Futures Initiative will focus on three areas: (a) deep decarbonization of U.S. energy systems; (b) regional, national, and global clean energy innovation pathways; and (c) building a clean energy-focused workforce.  For Clean Energy Transition Research"
34,"CALSTART works with the automotive industry and key policymakers to advance clean transportation solutions in all road-vehicle segments. Their theory of change is centered on technology and policy advocacy. They also serve as an administrator for several clean transportation programs funded by the state of California. CALSTART serves as the secretariat for the Global Commercial Vehicle Drive to Zero program, which will coordinate several global policy efforts for zero-emission freight. This year they plan to expand this program in Europe, China, and India.  For General Operating Support"
35,"This grant supports the U.S. Energy Foundation to develop strategies, make grants, and monitor and evaluate progress toward decarbonization of the U.S. economy. The U.S. Energy Foundation regrants to a broad array of organizations, including technical and policy experts, and influential constituencies working to build support for the transition to a clean-energy economy.  For General Operating Support"
36,"The Center for American Progress is an independent nonpartisan policy institute whose work spans environmental and economic issues. The center will develop a climate change financial regulatory plan, working with a coalition of both climate and finance experts across the United States.  For The Climate Finance Regulatory Project"
37,"Support to the Payne Institute at the Colorado School of Mines helps build a center of excellence on carbon capture, utilization, and storage. The institute will expand its capacity to incorporate carbon capture in climate models, as well as develop protocols for techno-economic systems analysis of carbon capture applications. It will research and develop new technologies for carbon capture, and around carbon utilization and storage. Finally, the institute will focus on policy research that will include carbon pricing, industrial carbon capture, and project-specific economic analysis for policymakers.  For An Integrated Carbon Capture, Utilization, And Storage Program"
38,  Western ConservationFor The Conservation Litigation Project
39,"The Conservation Lands Foundation protects, restores, and expands the nation’s system of National Conservation Lands through a network of 70 volunteer-powered local ""friends groups,"" public education, and partnerships. The organization trains and supports its Friends Grassroots Network to work with their communities to steward and advance new conservation protections for landscapes and rivers across the West. (Western Conservation Substrategies: Defend Public Lands and Advance Conservation Protections.) Western ConservationFor General Operating Support"
40,  Western ConservationTo Facilitate Collaboration Among Public Land Users And Advocates
41,  Western ConservationFor A State-by-state Analysis Of Wildland-urban Interface Development
42,"The Western Organization of Resource Councils’ Education Project is a regional network of grassroots community organizations that includes 15,000 members and 35 local chapters. The network works to advance new federal and state policies such as the reform of oil and gas reclamation and bonding practices in multiple Western states, balancing economic growth with the health of people and stewardship of their land, water, and air resources. (Western Conservation Substrategy: Advance Conservation Protections.) Western ConservationFor General Operating Support"
43,"Founded in 1971, Earthjustice is a nonprofit environmental law organization that works to protect people’s health, to preserve magnificent places and wildlife, to advance clean energy, and to combat climate change via legal strategies and partnerships with tribes and hundreds of community organizations. A Western Conservation grantee, Earthjustice uses litigation and strategic communications to defend protected public lands and waters and bedrock environmental laws. (Western Conservation Substrategy: Defend Public Lands.) Western ConservationFor General Operating Support"
44,"The Energy Innovation Reform Project seeks to develop a dialogue on climate change within the conservative policy community, focusing on energy solutions, including mitigation technologies such as carbon capture and storage and advanced nuclear. They work on promoting innovation-based solutions to the challenge of climate change.  For General Operating Support"
45,   For Supporting Alignment Between Climate Risk And Climate Impact In Finance Portfolios
46,"The Institute for Transportation and Development Policy promotes environmentally sustainable and socially equitable transportation in cities worldwide. This grant supports the institute to make progress toward its goal of replacing high-carbon personal vehicles with low-carbon shared and electric vehicles. Specifically, the institute will work with cities to electrify buses, informal transit, and shared micromobility in China and India. The lessons from this work will serve to inform the development of a global electric bus policy and implementation guidebook.  For Advancing Electrification In China And India Transport"
47,  Western ConservationFor A Workshop On Working With Rural Communities
48,"This grant supports the Clean Cars Campaign within the Partnership Project. The Clean Cars Campaign is comprised of organizations ranging from environmental, consumer protection, and health to national security and business. The campaign’s focus is to defend federal car fuel economy and greenhouse gas emissions standards and plan for advancing these regulations in the future. The campaign is focused on educating the public on where major automakers stand with respect to their support of strong clean car standards in the U.S. Maintaining and advancing strong federal clean car standards is a key element of the Climate Initiative’s transportation substrategy.  For The Clean Cars Campaign"
49,"The Western Conservation Foundation (WCF) works to build leaders to protect the land, air, and water of the West. WCF is a regranter and convener supporting our Western Conservation strategy. It works with diverse organizations to advocate and advance new federal and state conservation policies, such as those protecting wildlife connectivity and key landscapes. It supports coordination among state groups and the capacity of regrantees to address DEI issues and improve their operational efficiency, and is launching a communications project about the effect of energy development on land and waters, wildlife habitat, and communities. (Substrategy: Advance Conservation Protections) Western ConservationFor General Operating Support"
50,"The Pew Charitable Trusts’ U.S. public lands and rivers conservation campaign works with communities west-wide to conserve biodiversity by identifying and protecting wildlife corridors, protecting and restoring free-flowing rivers, and expanding core habitat designations. In particular, Pew is working with other Western Conservation grantees, scientists, local partners, tribes, sportsmen and sportswomen groups, members of the business community, mayors, county commissioners, veterans, and others to advance new policies that safeguard these wild places and wild rivers for future generations to use and enjoy. At the local level, Pew continues to work with federal, state, and local natural resource officials and agencies to secure the removal or replacement of river barriers impeding fish passage, in coordination with Resources Legacy Fund’s Open Rivers Fund; seek new public funding for construction of wildlife crossing infrastructure projects within identified migration corridors; and preserve core areas of passageway for wildlife connectivity through federal land-use plans. (Substrategy: Advance Conservation Protections) Western ConservationFor U.S. Public Lands And Rivers Conservation"
51,"The Resources Legacy Fund’s Western Energy Project works to protect treasured landscapes in the American West by ensuring that any development of oil and gas from our federal public lands is done in a responsible manner. The Fund empowers diverse organizations to preserve ecologically and culturally important areas; support the adoption of common-sense protections for our water, air, land, and wildlife; and work to safeguard opportunities for Americans to enjoy our public lands across the Intermountain West. (Substrategy: Defend Public Lands) Western ConservationFor The Western Energy Project"
52,"  Western ConservationFor A Funder Convening To Learn About Equity, Diversity, And Inclusion"
53,"This scope of work is to further grow the Science Based Targets Initiative, specifically for financial institutions (SBTi Finance). SBTi Finance builds on attributional accounting based on the Greenhouse Gas Protocol’s Corporate Value Chain (Scope 3) Standard. SBTi Finance is a framework for financial institutions to set targets that are aligned with climate scenarios, and that enable an ex-post evaluation of financial institutions’ contribution to real-economy emissions reductions in relation to the Paris Agreement’s mitigation goal. The framework includes a set of methods that can be used to set targets, criteria that SBTi will use to assess and validate targets submitted to the initiative, and implementation guidance.  For The SBTi-Finance Project"
54,"In this project, the Bipartisan Policy Center works with Third Way Institute and Clean Air Task Force to undertake detailed quantitative modeling of deep decarbonization pathways and Clean Energy Standard policies in the United States. These modeling results will be used to estimate state-level deployment of energy infrastructure and to analyze the implications for U.S. employment of different deep decarbonization pathways and infrastructure build-out scenarios through 2030.  For The Deep Decarbonization, Infrastructure, And Jobs Modeling Project"
55,  Western ConservationFor The Pioneers Alliance To Protect Idaho's Pioneer Mountains And Craters Of The Moon Landscape
56,"Parks California is a new statewide nonprofit with statutory authority, working to leverage public and private dollars toward making California state parks more welcoming, accessible, and relevant to everyone. This two-year grant, made in partnership with several other California foundations, enables the organization to build out its staff capacity and launch new community engagement partnerships. (Western Conservation Substrategy: Building Conditions for Enduring Conservation) Western ConservationFor General Operating Support"
57,"The Institute of International Finance is a global association of the financial industry, with more than 450 members from more than 70 countries. Members include commercial and investment banks, asset managers, insurance companies, sovereign wealth funds, hedge funds, central banks, and development banks. As part of its Sustainable Finance Working Group and work on climate risk assessment and reporting, the institute will host three interactive workshops in key Asian markets to help financial institutions assess and disclose the greenhouse gas emissions associated with loans and investments.  For The Climate Risk Assessment And Reporting Project"
58,"Resources for the Future (RFF) conducts impartial economic and policy research to improve environmental, energy, and natural resource decisions. RFF’s climate and energy research includes sector-specific strategies including transport, electricity, industry, and carbon removal. RFF also engages in cross-cutting policy research related to carbon pricing and clean technology. Finally, RFF provides technical support to key decision makers at the E.U., U.S. federal, and U.S. state levels on climate policy and its economic impacts.  For General Operating Support"
59,"The Great Plains Institute works on solutions that reduce and ultimately eliminate carbon emissions, while strengthening communities and providing greater economic opportunity through creation of high-paying jobs, expansion of the nation’s industrial base, and increased domestic energy independence. Of particular importance is the role that the institute plays in building support for carbon capture and carbon dioxide removal projects and policies in the Mountain, Plains, and Midwestern states. This includes hosting and staffing the 75-member national industry, labor, and NGO carbon capture coalition. In addition, the institute organizes CO2NNECT, the premier annual national leadership event on carbon capture, to elevate policy, technology, and communications priorities.  For General Operating Support"
60,   For Fund Development For ClimatePlan
61,   For Climate Finance Fintech Accelerator Landscape Scoping
62,"The European Climate Foundation (ECF) was established in early 2008 as a major philanthropic initiative to help Europe foster the development of a low-carbon society and play an even stronger international leadership role in mitigating climate change. ECF advances policy in the areas of energy, transportation, buildings, low-carbon finance, industry, and energy efficiency. The organization works to develop policy at the local, national, and European Union level. They also support international efforts to mitigate carbon emissions through the United Nations and G20.  For General Operating Support"
63,"The overarching goal of the Climate Policy Initiative’s Climate Finance Program is to ensure that policy and investment decision makers have the knowledge and tools to address climate change while achieving sustainable development goals. The program’s strategy is organized around three work streams: (a) to provide needed information on investment flows and investors, (b) to apply in-depth analysis to guide decision makers in their efforts to accelerate the effective use of public and private capital, and (c) develop and scale transformative financial solutions for climate mitigation.  For The Climate Finance Program"
64,"Ideas42 has applied behavioral insights in more than 100 projects across 35 countries, helping people act on choices that affect their lives and communities. Ideas42 manages a Sustainable Banking campaign that encourages consumers to switch their bank accounts to climate-positive, socially and environmentally sustainable financial institutions. The short-term goal of the campaign is to drive consumers to take actions signaling their demand for pro-climate deposit accounts. The medium- to long-term goal of the campaign is to build substantial and growing demand for pro-climate retail banking products, and engage with regulatory and private actors to increase the availability and utilization of those products.  For The Sustainable Banking Consumer Campaign"
65,   For We Mean Business' Executive Search And Leadership Development
66,  Western ConservationFor A Study Of Conservation Opportunities With The U.S. Military
67,"   For The Opportunities In The Interior West For Commercializing Carbon Capture, Use, And Storage"
68,"This project seeks to achieve buy-in from key European NGOs for an industrial decarbonization strategy that is built around carbon capture. The European Climate Foundation will work with stakeholders to develop a governing consensus for the deployment of carbon capture and the accompanying infrastructure. Key stakeholders will include major E.U. climate NGOs; representatives from the iron, steel, cement, and chemical industries; national governments; and labor unions.  For The Carbon Dioxide Removal And Carbon Capture Hub At The Port Of Rotterdam"
69,   For The 2020 Women In Conservation Leadership Summit
70,"The Greater Yellowstone Coalition works to protect the lands, waters, and wildlife of the Greater Yellowstone Ecosystem, an area comprising 18 million acres of public and private land surrounding Yellowstone and Grand Teton National Parks. Western ConservationFor General Operating Support"
71,  Western ConservationFor General Operating Support
72,"This grant will support New America’s Resource Security Program. Climate change is already shaping human security by making droughts longer and drier, storms stronger, and fires and floods more destructive. This program seeks to redefine security for the 21st century, with a focus on the link between natural resources and human security. This entails research around the geopolitics of natural resources, including energy, water, food, and critical materials. The program will also emphasize research around climate security and how climate change will reshape the risks to peace, looking for ideas that can guide policies, investments, and actions to prevent conflict and build security.  For The Resource Security Program"
73,   For India-U.S. Track II Dialogue On Energy And Climate Change
74,"Conservation Colorado Education Fund is the largest statewide conservation group in Colorado, with more than 100 partnering organizations and over 60,000 members. The Fund protects Colorado’s climate, air, land, water, and communities through organizing, advocacy, and education of the public, press, and policymakers. Western ConservationFor General Operating Support"
75,The European Climate Foundation (ECF) helps Europe foster the development of a low-carbon society and play an international leadership role in mitigating climate change. ECF seeks to accomplish two goals under this program: (a) accelerate changes to the way private capital is allocated in Europe towards climate change mitigation investments and (b) support strategic communications around the decarbonization of bank lending portfolios.  For The Sustainable Finance Program And Climate Finance Strategic Communications
76,"This project will build on findings that using forest slash to create biofuels with carbon capture is economical — and would expand California’s ability to mitigate wildfire risk. Specifically, this project would examine the institutional and regulatory barriers to using forest thinning to create lumber products and biofuel with carbon capture. In addition, the project would identify revenue streams that could speed up and expand wildfire mitigation efforts, and work with stakeholders to achieve social buy-in for sound forest management and carbon capture.  For Conservation 2.0 To Advance California's Carbon Neutrality Goals"
77,"The independent Global Stocktake (iGST) is a research and communications project driven by thinks tanks and civil society to raise the aspirations of parties to the Paris agreement. It is a rigorous analytical project to highlight the difference between what countries have pledged; what they are actually doing; and what needs to be done to meet the goal of keeping global temperature increases well below two degrees, as set under the Paris treaty. This project will precede the official UNFCCC Global Stocktake (GST), and is designed to help keep that process honest and ambitious. The GST will be one input when countries submit their national determined commitments to meet the Paris goals in 2025.  For The Independent Global Stocktake"
78,"The European Climate Foundation plays an international leadership role in climate change mitigation. The International Climate Policy Hub will support efforts leading up to the 26th UNFCCC’s Conference of the Parties to be held in Glasgow in 2020. The Hub will support key countries in demonstrating progress, reaffirming commitments, and showing collective ambition on the global scale in order to align with the goals of the Paris Agreement. The Hub will also work to ensure NDC commitments are accompanied by Paris-compliant finance agendas, and will support activities such as workshopping best practices, and building peer-to-peer exchanges between national governments, cities, regions, investors, and businesses.  For The International Climate Politics Hub"
79,   For Climate Nexus' Youth Climate Mobilization Media Outreach
80,"The Initiative on Climate, Energy, and Environment at the Centre for Policy Research aims to stimulate informed, long-term, and strategic policy and institutional change toward improving climate and development outcomes. This grant is designed as a capacity- building grant to support the Initiative to deepen its staff strength, consolidate around four strategic themes, and provide the flexibility to intervene strategically in new areas in response to policy opportunities.  For The Initiative On Climate, Energy, And Environment"
81,"Sierra Club Foundation’s Clean Transportation for All Campaign aims to cut U.S. oil use to 50% of 2005 levels in 2025, and for the country to have 14 million electric vehicles. This grant supports the program in achieving these objectives through a combination of technical assistance, corporate campaigns, and utility regulatory policy.  For The State And Federal Clean Transportation For All Campaign"
82,"Climate Central is an independent organization of leading scientists and journalists researching and reporting the facts about our changing climate and its impact on the public. Climate Central surveys and conducts scientific research on climate change and informs the public of key findings. Its Climate News Engine will create timely, highly localized scientific information, based on monitoring daily weather and other data streams, and quickly deliver that content in the form of clear, compelling visuals and language to journalists, meteorologists, and news and weathercasters nationally. The content will be highly shareable on digital and social mediums in order to engage and inform large local audiences.  For Scaling Climate Communications By Developing A Climate News Engine"
83,The Rural Investment to Protect our Environment seeks to cultivate a coalition of agricultural and environmental groups to advance comprehensive climate solutions that can secure rural and urban support. The project will work with rural interests and agricultural commodity associations to formulate a bundle of policy solutions that address climate and rural economic development opportunities. The project will also promote agricultural solutions such as farming practices that mitigate or sequester greenhouse gases and that increase agricultural productivity.  For The Rural Investment To Protect Our Environment Roadmap Project
84,"The European Climate Foundation’s Global Strategic Communications program supports a range of advocates and communications efforts promoting climate change and clean energy solutions globally through traditional and new media outreach. This grant will enable the program and network to better use social and digital media to share news and information on climate change to key audiences. It will enable them to hire digital staff and create visual, compelling content for digital and social media channels. The grant will also enable the program to conduct organizational management planning in the coming year.  For The Global Strategic Communications Council's Digital Capacity And Organizational Effectiveness"
85,"NRDC’s China Program aims to better define climate finance within China’s green finance policy framework, encourage financial institutions and fintech companies to pioneer concrete climate finance efforts, and begin to raise public awareness of climate-friendly consumer behaviors via retail banking.  For Mobilizing Retail Banking Capital For Climate Solutions In China"
86,   For Research On The U.S. Defined Contribution Climate Investment Landscape
87,"The Climate and Foreign Policy Initiative (CFPI), a nonpartisan effort based in Washington, D.C., seeks to integrate climate change into the broader discussion of foreign policy. In addition, the Initiative will focus on preserving and expanding diplomatic inroads on climate change at the highest levels of government, as well as assisting in efforts to broadcast the work of sub-national climate champions, forging more productive relationships between and among the other countries.  For The Climate And Foreign Policy Initiative"
88,   For General Operating Support
89,"   For Diversity, Equity, And Inclusion Work"
90,   For Supporting The Alignment Between Climate Risk And Climate Impact In Finance Portfolios
91,"The Institute for Climate and Society is the foundation’s main in-country partner for climate mitigation efforts in Brazil. The Institute evolved from the Latin America Regional Climate Initiative, a collaboration among ClimateWorks Foundation, Oak Foundation, and the Children’s Investment Fund Foundation. The Institute has established itself as a country convener, coordinator, and regranter, and now works with Brazilian foundations such as Arapyaú Institute. The Institute seeks to improve its capacity to engage at the national and sub-national level on climate mitigation programs.  For General Operating Support"
92,   For A Climate Finance Convening
93,"The Great Plains Institute works on solutions that reduce and ultimately eliminate carbon emissions, while strengthening our communities and providing greater economic opportunity through creation of high-paying jobs, expansion of the nation’s industrial base, and increased domestic energy independence.  For General Operating Support"
94,"ClimateWorks’ Climate and Land Use Alliance has a mission to realize the potential of forested and agricultural landscapes to mitigate climate change, benefit people, and protect the environment, primarily in Indonesia, Brazil, and Mesoamerica. Land use — from deforestation, land degradation, and the draining and burning of tropical peatlands to fertilizer application and rice and cattle production — is responsible for about 25% of human-related greenhouse gas emissions. More effective land use protects the climate by reducing carbon emissions and preserving nature’s vital carbon sinks.  For The Climate And Land Use Alliance"
95,   For Small And Medium-sized Enterprises And Sustainable Banking
96,"The Nicholas Institute for Environmental Policy Solutions is a multidisciplinary program at Duke University. The Institute works to develop policy solutions in four main areas. The Climate and Energy Program looks at meeting the energy needs of a growing population, while protecting the air and environment. The Ecosystem Services Program focuses on ensuring that the environment can sustain future generations. The State Policy Program provides analysis and tools to help local, state, regional, and federal decision makers design cost-effective policies and practices to protect valuable resources and build sustainable communities. The Water Policy Program is an interdisciplinary effort focused on using data to inform effective policy in how water is understood and managed.  For The Nicholas Institute For Environmental Policy Solutions"
97,   For Climate Interactive's Strategic Plan
98,"The North American Council for Freight Efficiency works to drive the development and adoption of efficiency-enhancing, environmentally beneficial, and cost-effective technologies, services, and methodologies in the North American freight industry. With this project grant, the Council will advance the electrification of regional haul trucking in the U.S. through convening key industry, government, and nonprofit groups.  For Accelerating The Electrification Of Regional Haul Trucking In The United States"
99,Energy Foundation China’s mission is to assist in China’s transition to a sustainable energy future by promoting energy efficiency and renewable energy. This grant will support their Transportation Program in several ways: accelerate zero-emission road freight vehicles in China through research and analysis and implement the Blue Sky Defense Action Plan in key cities; increase fast-charging infrastructure deployment for commercial vehicles; and national regulatory actions that favor electric heavy-duty vehicles.  For Conducting Analysis On Zero-emission Freight In China
100,The goals of this project are to (a) facilitate financial regulators and banks in China to develop rigorous environmental and social risk assessment procedures for their investments to better reflect climate change-related benefits and risks and (b) persuade banks to adopt consistent carbon accounting methods and improve their decision-making systems based on the GHG emission performance.  For Climate Finance Implementation In China
101,   For The Center On Global Energy Policy's Project On State-owned Enterprises And Climate
102,"The International Council on Clean Transportation’s mission is to decarbonize all road transportation by 2050 and substantially decarbonize marine and aviation. The Council provides regulators and other key stakeholders at city, state, and national governments with research and analysis for policies that cut emissions from vehicles. The Council is working to implement its new strategic plan, known as Vision 2025. Vision 2025 is centered on rapid electrification of passenger and freight vehicles, while maintaining pressure on fuel efficiency improvements across the world. The key regions of focus for the Council’s work are the U.S., Europe, China, and India.  For General Operating Support"
103,"Internews’ Earth Journalism Network supports more than 9,000 journalists from 130 developing countries to cover the environment more effectively. To improve the quantity and quality of environmental reporting globally, the Earth Journalism Network offers workshops and training materials, fellowship programs, and grants for working journalists. This grant will support the Network’s India team to carry out a series of journalism training workshops in Maharashtra, Tamil Nadu, and Karnataka on local climate impacts and local climate solutions. The trainings will happen in Hindi, as well as major state languages.  For The Earth Journalism Network's Climate Impact Journalism Trainings"
104,"The World Resources Institute’s Sustainable Urban Mobility program in India has focused on city-based solutions to clean and accessible transportation. The Institute has also served as the secretariat for the newly launched Go Electric forum, which convenes career government staff, civil society, transport service providers, infrastructure providers, and manufacturers to discuss topics with the goal of developing agreements and solutions to meet India’s aggressive electric mobility goals.  For Expanding Electric Mobility In India"
105,"The CEL Education Fund’s Climate and Culture Program (aka Center for Cultural Power) works to increase the mainstream mass media and popular culture dialogue around climate solutions by supporting artists and culture-makers who are already operating in the realm of popular culture and mass media (defined as reaching more than 1 million people). The Center works with emerging artists and influencers to bring a deeper understanding of climate into their art by supporting their artistic growth and leadership. The Center will also expand climate understanding, inspiration, and community among established artists in the entertainment industry, and leverage the wisdom and experiences of frontlines and grassroots communities.  For The Climate And Culture Program"
106,"The Energy Foundation will support a variety of groups to advocate for a strong Advanced Clean Trucks rule in California. It will work toward this goal by engaging equity and labor groups, and providing research and technical assistance to demonstrate the environmental and economic benefits of zero-emission trucks to the state.  For Supporting The Proposed California Advanced Clean Trucks Rule"
